school_name,school_id
Osceola High School,406
Otterville High School,407
Owensville High School,153
Ozark High School,154
Pacific High School,408
Palmyra High School,155
Paris High School,156
Park Hill High School,157
Park Hill South High School,158
Parkview High School,159
Parkway Central High School,160
Parkway North High School,161
Parkway South High School,162
Parkway West High School,163
Paseo Academy High School,164
Pattonsburg High School,409
Pattonville High School,165
Pembroke Hill High School,570
Penney High School,410
Perryville High School,411
Pierce City High School,412
Pilot Grove High School,413
Plato High School,414
Platte County High School,166
Plattsburg High School,415
Pleasant Hill High School,416
Pleasant Hope High School,417
Polo High School,418
Poplar Bluff High School,167
Portageville High School,419
Potosi High School,171
Prairie Home High School,420
Princeton High School,421
Principia High School,538
Priory High School,539
Purdy High School,173
Putnam County High School,175
Puxico High School,422
Raymore-Peculiar High School,176
Raytown High School,178
Raytown South High School,179
Reeds Spring High School,180
Republic High School,423
Rich Hill High School,424
Richland (Essex) High School,425
Richland High School,181
Richmond High School,426
Ridgeway High School,427
Risco High School,428
Ritenour High School,182
Riverview Gardens High School,185
Rock Bridge High School,578
Rock Port High School,429
Rockhurst High School,540
Rockwood Summit High School,187
Rolla High School,188
Roosevelt High School,189
Ruskin High School,192
Salem High School,193
Sarcoxie High School,430
Savannah High School,194
Schuyler County High School,431
Scott County Central High School,432
Sedalia Smith-Cotton High School,433
Senath-Hornersville High School,434
Seneca High School,435
Sherwood Cass High School,436
Sikeston High School,196
Slater High School,197
Smithville High School,437
South Callaway High School,438
South Nodaway High School,439
South Pemiscot High School,440
South Shelby High School,443
Southwest (Kirbyville) High School,444
Sparta High School,445
Springfield Catholic High School,541
St. Agnes (St. Louis) High School,542
St. Charles High School,198
St. Clair High School,199
St. Elizabeth High School,446
St. Francis Borgia High School,543
St. James High School,447
St. Joseph Christian High School,971
St. Joseph's Academy High School,544
St. Louis University High School,545
St. Mary's (St. Louis) High School,546
St. Michael the Archangel High School,972
St. Pius X (Festus) High School,552
St. Teresa's Academy High School,547
Stanberry High School,448
Stover High School,449
Sullivan High School,200
Summersville High School,450
Sweet Springs High School,453
Tarkio High School,201
Thayer High School,454
Thomas Jefferson Independent Day School,548
Tipton High School,202
Trenton High School,196
Troy Buchanan High School,476
Tuscumbia High School,455
Union High School,456
Unionville High School,457
University City High School,203
Van-Far High School,458
Vandalia High School,459
Versailles High School,204
Vienna High School,460
Walnut Grove High School,461
Warsaw High School,205
Wayland High School,462
Waynesville High School,206
Webb City High School,207
Webster Groves High School,549
Wellsville-Middletown High School,463
West Plains High School,208
Westran High School,464
Willard High School,465
Winona High School,466
Worth County High School,467
Wright City High School,468
