team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Winnetonka,5,8,3,2025,6.64,9.47,16.11,6.810843583179575,6.867176120122768,13.678019703302343
St. Dominic,5,4,3,2025,14.11,8.16,22.27,6.129115294421492,7.2777854517863085,13.4069007462078
Boonville,3,7,3,2025,6.04,3.07,9.11,11.20447922467867,1.9307334405745162,13.135212665253185
Timberland,5,4,3,2025,1.86,2.78,4.64,8.400760865453002,4.492498338269661,12.893259203722662
McDonald County,4,6,3,2025,10.62,12.36,22.98,7.055453617716916,5.834820599297772,12.890274217014689
Bolivar,4,6,3,2025,-3.82,6.26,2.44,3.591954767746985,9.225941493802221,12.817896261549206
Harrisonville,4,7,3,2025,5.37,7.0,12.38,3.1910247262462432,9.562234744301314,12.753259470547558
Ritenour,6,3,3,2025,6.81,12.13,18.94,5.441091326504736,6.824179277755875,12.26527060426061
Marquette,6,2,3,2025,-1.16,0.6,-0.55,4.81581375980271,7.38314994890529,12.198963708708
Central (Cape Girardeau),5,1,3,2025,-1.9,16.33,14.43,-5.7301476689414725,17.592190167256064,11.86204249831459
Moberly,4,5,2,2025,2.47,2.43,4.9,7.446574427980366,4.0081637071546306,11.454738135134996
Lindbergh,6,1,3,2025,5.98,4.75,10.73,1.490642728203956,9.069056841763533,10.559699569967488
William Chrisman,5,8,3,2025,4.04,3.71,7.75,4.29992950834472,6.116608758573081,10.4165382669178
St. Pius X (Festus),3,2,2,2025,0.52,4.76,5.29,5.42219332552719,4.42703469758438,9.849228023111571
St. Vincent,2,1,3,2025,-0.07,-2.45,-2.51,0.9288926082593228,8.72810748196848,9.657000090227804
Orchard Farm,4,4,3,2025,14.62,3.54,18.16,8.389229160891157,1.1639085839555505,9.553137744846707
Fair Grove,2,3,3,2025,-0.36,-1.87,-2.23,6.1481427952603225,3.1384756378899223,9.286618433150245
Father Tolton,2,5,2,2025,4.13,11.36,15.49,3.3058410380282095,5.184833787382174,8.490674825410384
Ste. Genevieve,3,1,2,2025,6.97,6.42,13.38,2.487079351400535,5.849926761394925,8.33700611279546
University City,4,3,1,2025,1.4,3.65,5.05,3.995117095667895,4.085569865592558,8.080686961260453
Mexico,4,5,3,2025,5.2,5.4,10.6,0.15143079190968362,7.928962036961268,8.080392828870952
St. Michael the Archangel,3,7,3,2025,15.23,4.19,19.42,6.915844658666983,0.8549676796076302,7.770812338274613
Belton,5,7,3,2025,11.81,-2.88,8.93,7.784024269657634,-0.12006955543098319,7.663954714226651
Fox,5,1,3,2025,6.42,4.73,11.15,5.070985502992361,2.5578757899380626,7.628861292930424
Pleasant Hill,4,7,3,2025,-1.32,7.46,6.14,2.503701777422093,4.931927336697988,7.435629114120081
