school_name,school_id,sport,sport_id,season,schedule_url,scrape_active
Ava High School,5,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=6,FALSE
Ava High School,5,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=9,FALSE
Ava High School,5,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=4,FALSE
Ava High School,5,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=3,FALSE
Bakersfield High School,9,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=1,FALSE
Bakersfield High School,9,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=68,FALSE
Bakersfield High School,9,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=12,FALSE
Bakersfield High School,9,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=8,FALSE
Bakersfield High School,9,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=5,FALSE
Bakersfield High School,9,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=6,FALSE
Bakersfield High School,9,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=9,FALSE
Bakersfield High School,9,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=4,FALSE
Bakersfield High School,9,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=9&alg=3,FALSE
Ballard High School,210,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=1,FALSE
Ballard High School,210,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=68,FALSE
Ballard High School,210,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=12,FALSE
Ballard High School,210,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=8,FALSE
Ballard High School,210,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=5,FALSE
Ballard High School,210,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=6,FALSE
Ballard High School,210,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=9,FALSE
Ballard High School,210,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=4,FALSE
Ballard High School,210,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=210&alg=3,FALSE
Barstow High School,508,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=1,FALSE
Barstow High School,508,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=68,FALSE
Barstow High School,508,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=12,FALSE
Barstow High School,508,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=8,FALSE
Barstow High School,508,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=5,FALSE
Barstow High School,508,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=6,FALSE
Barstow High School,508,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=9,FALSE
Barstow High School,508,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=4,FALSE
Barstow High School,508,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=508&alg=3,FALSE
Battle High School,953,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=1,FALSE
Battle High School,953,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=68,FALSE
Battle High School,953,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=12,FALSE
Battle High School,953,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=8,FALSE
Battle High School,953,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=5,FALSE
Battle High School,953,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=6,FALSE
Battle High School,953,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=9,FALSE
Battle High School,953,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=4,FALSE
Battle High School,953,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=3,FALSE
Bayless High School,10,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=1,FALSE
Bayless High School,10,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=68,FALSE
Bayless High School,10,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=12,FALSE
Bayless High School,10,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=8,FALSE
Bayless High School,10,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=5,FALSE
Bayless High School,10,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=6,FALSE
Bayless High School,10,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=9,FALSE
Bayless High School,10,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=4,FALSE
Bayless High School,10,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=10&alg=3,FALSE
Bell City High School,211,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=1,FALSE
Bell City High School,211,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=68,FALSE
Bell City High School,211,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=12,FALSE
Bell City High School,211,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=8,FALSE
Bell City High School,211,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=5,FALSE
Bell City High School,211,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=6,FALSE
Bell City High School,211,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=9,FALSE
Bell City High School,211,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=4,FALSE
Bell City High School,211,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=211&alg=3,FALSE
Belle High School,212,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=1,FALSE
Belle High School,212,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=68,FALSE
Belle High School,212,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=12,FALSE
Belle High School,212,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=8,FALSE
Belle High School,212,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=5,FALSE
Belle High School,212,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=6,FALSE
Belle High School,212,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=9,FALSE
Belle High School,212,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=4,FALSE
Belle High School,212,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=212&alg=3,FALSE
Belton High School,12,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=1,FALSE
Belton High School,12,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=68,FALSE
Belton High School,12,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=12,FALSE
Belton High School,12,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=8,FALSE
Belton High School,12,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=5,FALSE
Belton High School,12,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=6,FALSE
Belton High School,12,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=9,FALSE
Belton High School,12,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=4,FALSE
Belton High School,12,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=12&alg=3,FALSE
Benton High School,236,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=1,FALSE
Benton High School,236,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=68,FALSE
Benton High School,236,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=12,FALSE
Benton High School,236,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=8,FALSE
Benton High School,236,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=5,FALSE
Benton High School,236,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=6,FALSE
Benton High School,236,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=9,FALSE
Benton High School,236,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=4,FALSE
Benton High School,236,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=236&alg=3,FALSE
Bernie High School,213,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=213&alg=1,FALSE
Bernie High School,213,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=213&alg=68,FALSE
Bernie High School,213,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=213&alg=12,FALSE
