date,team1,score1,team2,score2,forfeit,overtime
2026-09-11,Parkview,,Hillcrest,,False,False
2026-09-11,Holt,,Hillsboro,,False,False
2026-09-11,Adrian,,Holden,,False,False
2026-09-11,Mehlville,,Jennings,,False,False
2026-09-11,Central (New Madrid County),,Kelly,,False,False
2026-09-11,Dexter,,Kennett,,False,False
2026-09-11,Carthage,,Kickapoo,,False,False
2026-09-11,Savannah,,Kirksville,,False,False
2026-09-11,Hazelwood East,,Kirkwood,,False,False
2026-09-11,Pattonville,,Lafayette (Wildwood),,False,False
2026-09-11,Pembroke Hill,,Lafayette County,,False,False
2026-09-11,Lawson,,Lathrop,,False,False
2026-09-11,Joplin,,Lebanon,,False,False
2026-09-11,Oak Park,,Lee's Summit,,False,False
2026-09-11,Lee's Summit North,,Lee's Summit West,,False,False
2026-09-11,Central (St. Joseph),,Liberty,,False,False
2026-09-11,Thayer,,Liberty (Mountain View),,False,False
2026-09-11,North Kansas City,,Liberty North,,False,False
2026-09-11,Seckman,,Lindbergh,,False,False
2026-09-11,Windsor,,Linn,,False,False
2026-09-11,Carl Junction,,Logan-Rogersville,,False,False
2026-09-11,Carrollton,,Lone Jack with Kingsville,,False,False
2026-09-11,Hayti,,Malden,,False,False
2026-09-11,Richmond,,Marshall,,False,False
2026-09-11,Branson,,Marshfield,,False,False
2026-09-11,Chillicothe,,Maryville,,False,False
2026-09-11,Brookfield,,Maysville,,False,False
2026-09-11,Lamar,,McDonald County,,False,False
2026-09-11,Diamond,,Miller,,False,False
2026-09-11,Mexico,,Monroe City,,False,False
2026-09-11,Aurora,,Mt. Vernon,,False,False
2026-09-11,Monett,,Nevada,,False,False
2026-09-11,Republic,,Nixa,,False,False
2026-09-11,McCluer North,,Normandy Collaborative,,False,False
2026-09-11,Montgomery County,,North Callaway,,False,False
2026-09-11,DeSoto,,North County,,False,False
2026-09-11,Poplar Bluff,,North Point,,False,False
2026-09-11,University City,,Northwest (Cedar Hill),,False,False
2026-09-11,Warrensburg,,Oak Grove,,False,False
2026-09-11,Russellville,,Owensville,,False,False
2026-09-11,Webb City,,Ozark,,False,False
2026-09-11,Clark County,,Palmyra,,False,False
2026-09-11,Park Hill South,,Park Hill,,False,False
2026-09-11,St. Vincent,,Perryville,,False,False
2026-09-11,Sarcoxie,,Pierce City,,False,False
2026-09-11,Penney,,Plattsburg,,False,False
2026-09-11,Benton,,Pleasant Hill,,False,False
2026-09-11,El Dorado Springs,,"Pleasant Hope with Halfway, Marion C. Early",,False,False
2026-09-11,Charleston,,Portageville,,False,False
2026-09-11,Fredericktown,,Potosi,,False,False
2026-09-11,Gallatin with Tri-County,,Putnam County,,False,False
2026-09-11,Marquette,,Ritenour,,False,False
2026-09-11,Jefferson City,,Rock Bridge,,False,False
2026-09-11,Fayette,,Salisbury,,False,False
2026-09-11,Caruthersville,,Scott City with Chaffee,,False,False
2026-09-11,Cole Camp,,Sherwood,,False,False
2026-09-11,Jackson,,Sikeston,,False,False
2026-09-11,Marionville,,Skyline,,False,False
2026-09-11,Kearney,,Smithville,,False,False
2026-09-11,Scotland County,,South Callaway,,False,False
2026-09-11,Milan,,South Harrison,,False,False
2026-09-11,Macon,,South Shelby,,False,False
2026-09-11,Blair Oaks,,Southern Boone,,False,False
2026-09-11,Reeds Spring,,Springfield Catholic,,False,False
2026-09-11,Pacific,,St. Clair,,False,False
2026-09-11,Priory,,St. Pius X (Festus),,False,False
2026-09-11,Buffalo,,Strafford,,False,False
2026-09-11,St. James,,Sullivan,,False,False
2026-09-11,Liberty (Wentzville),,Timberland,,False,False
2026-09-11,East Newton,,Tipton with Bunceton,,False,False
2026-09-11,Marceline,,Trenton,,False,False
2026-09-11,Hannibal,,Troy Buchanan,,False,False
2026-09-11,Hermann,,Union,,False,False
2026-09-11,Central (Park Hills),,Valle Catholic,,False,False
2026-09-11,Truman,,Van Horn,,False,False
2026-09-11,Louisiana,,Van-Far,,False,False
2026-09-11,Lexington,,Versailles,,False,False
2026-09-11,Lutheran St. Charles,,Vianney,,False,False
2026-09-11,St. Dominic,,Warrenton,,False,False
2026-09-11,Knob Noster with Leeton,,Warsaw,,False,False
2026-09-11,St. Francis Borgia,,Washington,,False,False
2026-09-11,Neosho,,Waynesville,,False,False
2026-09-11,North Platte,,West Platte,,False,False
2026-09-11,Harrisburg,,Westran,,False,False
2026-09-11,Platte County,,William Chrisman,,False,False
2026-09-11,Festus,,Windsor (Imperial),,False,False
2026-09-11,Mark Twain,,Winfield,,False,False
2026-09-11,Raytown,,Winnetonka,,False,False
2026-09-12,St. Michael the Archangel,,KIPP KC Legacy,,False,False
2026-09-12,Confluence Prep Academy Charter,,Principia,,False,False
2026-09-12,Houston,,Salem,,False,False
2026-09-12,Father Tolton,,University Academy Charter with Ewing Marion Kauffman,,False,False
2026-09-17,Troy Buchanan,,Francis Howell Central,,False,False
2026-09-17,Parkway Central,,Hazelwood West,,False,False
2026-09-17,Holt,,St. Charles,,False,False
2026-09-18,Warsaw,,Adrian,,False,False
2026-09-18,Clayton with Brentwood,,Affton,,False,False
2026-09-18,Miller,,Ash Grove,,False,False
2026-09-18,Nevada,,Aurora,,False,False
2026-09-18,Liberty (Mountain View),,Ava,,False,False
2026-09-18,Perryville,,Bayless with Hancock,,False,False
2026-09-18,Winnetonka,,Belton,,False,False
2026-09-18,Osage,,Blair Oaks,,False,False
2026-09-18,Liberty North,,Blue Springs,,False,False
2026-09-18,Hillcrest,,Bolivar,,False,False
2026-09-18,West Plains,,Branson,,False,False
2026-09-18,Trenton,,Brookfield,,False,False
2026-09-18,Helias Catholic,,Camdenton,,False,False
2026-09-18,Marshfield,,Carl Junction,,False,False
2026-09-18,KIPP KC Legacy,,Carrollton,,False,False
2026-09-18,Glendale,,Carthage,,False,False
2026-09-18,Sikeston,,Central (Cape Girardeau),,False,False
2026-09-18,Hogan Prep Academy Charter,,Central (Kansas City),,False,False
2026-09-18,East Prairie,,Central (New Madrid County),,False,False
2026-09-18,Oak Park,,Central (St. Joseph),,False,False
2026-09-18,Scott City with Chaffee,,Charleston,,False,False
2026-09-18,Cameron,,Chillicothe,,False,False
2026-09-18,Monroe City,,Clark County,,False,False
2026-09-18,Fair Grove,,Clever,,False,False
2026-09-18,Holden,,Clinton,,False,False
2026-09-18,"Pleasant Hope with Halfway, Marion C. Early",,Cole Camp,,False,False
2026-09-18,Lexington,,Crest Ridge with Chilhowee,,False,False
2026-09-18,Confluence Prep Academy Charter,,Crystal City,,False,False
2026-09-18,Chaminade College Prep,,De Smet Jesuit,,False,False
2026-09-18,Doniphan,,Dexter,,False,False
2026-09-18,Fulton,,Eldon,,False,False
2026-09-18,Maryville,,Excelsior Springs,,False,False
2026-09-18,Westran,,Fayette,,False,False
2026-09-18,DeSoto,,Festus,,False,False
2026-09-18,Springfield Catholic,,Forsyth,,False,False
2026-09-18,William Chrisman,,Fort Osage,,False,False
2026-09-18,Valle Catholic,,Fredericktown,,False,False
2026-09-18,Timberland,,Ft. Zumwalt North,,False,False
2026-09-18,Francis Howell,,Ft. Zumwalt West,,False,False
2026-09-18,Milan,,Gallatin with Tri-County,,False,False
2026-09-18,Raytown,,Grain Valley,,False,False
