class,district,rank,team,total_points,wins,losses,games_played,games_counted_in_sos,avg_win_loss,avg_class_bonus,avg_differential,sos_term
3,3,2,Winfield,32.5833,2,2,4,4,15.0,2.5,-0.75,15.8333
3,3,3,Normandy Collaborative,32.25,1,3,4,4,12.5,12.5,-5.25,12.5
3,3,4,Lutheran North,30.1111,0,3,3,3,10.0,16.6667,-11.0,14.4444
3,3,5,Priory,30.0,2,2,4,4,15.0,0.0,0.0,15.0
3,3,6,John Burroughs,25.5,0,2,2,2,10.0,10.0,-9.5,15.0
3,3,7,Lutheran St. Charles,24.5,0,4,4,4,10.0,12.5,-13.0,15.0
3,4,1,St. Francis Borgia,44.75,3,1,4,4,17.5,12.5,4.75,10.0
3,4,2,Hallsville,42.3333,3,1,4,4,17.5,0.0,6.5,18.3333
3,4,3,Southern Boone,42.3333,3,1,4,4,17.5,5.0,6.5,13.3333
3,4,4,Fulton,30.0,1,3,4,4,12.5,7.5,-5.0,15.0
3,4,5,Wright City,17.8333,0,4,4,4,10.0,5.0,-13.0,15.8333
3,4,6,Owensville,17.5833,0,4,4,4,10.0,2.5,-10.75,15.8333
3,4,7,Eldon,16.25,1,3,4,4,12.5,0.0,-8.75,12.5
3,5,1,Strafford,40.0,3,1,4,4,17.5,2.5,5.0,15.0
3,5,2,Buffalo,39.1364,3,1,4,4,17.5,0.0,8.0,13.6364
3,5,3,Mountain Grove,37.1667,2,2,4,4,15.0,5.0,0.5,16.6667
3,5,4,St. James,31.5833,2,2,4,4,15.0,2.5,-1.75,15.8333
3,5,5,Cuba with Steelville,28.4167,2,2,4,4,15.0,0.0,1.75,11.6667
3,5,6,Salem,18.5,1,3,4,4,12.5,0.0,-6.5,12.5
3,5,7,"Pleasant Hope with Halfway, Marion C. Early",14.5,0,4,4,4,10.0,2.5,-10.5,12.5
3,6,1,Cassville,49.6667,4,0,4,4,20.0,5.0,10.5,14.1667
3,6,2,Nevada,45.9167,4,0,4,4,20.0,5.0,6.75,14.1667
3,6,3,Seneca,35.4167,2,2,4,4,15.0,0.0,3.75,16.6667
3,6,4,Mt. Vernon,26.9167,1,3,4,4,12.5,2.5,-2.25,14.1667
3,6,5,Reeds Spring,25.0455,1,3,4,4,12.5,7.5,-9.5,14.5455
3,6,6,Aurora,14.5,0,4,4,4,10.0,0.0,-13.0,17.5
3,6,7,Hollister,14.0,0,4,4,4,10.0,0.0,-13.0,17.0
3,7,1,Pembroke Hill,45.7273,4,0,4,4,20.0,0.0,13.0,12.7273
3,7,2,Center,44.0,3,1,4,4,17.5,5.0,6.5,15.0
3,7,3,Boonville,42.3333,3,1,4,4,17.5,5.0,6.5,13.3333
3,7,4,Summit Christian Academy,37.9167,3,1,4,4,17.5,0.0,3.75,16.6667
3,7,5,Clinton,34.1667,2,2,4,4,15.0,5.0,0.0,14.1667
3,7,6,Oak Grove,28.0833,1,3,4,4,12.5,7.5,-5.25,13.3333
3,7,7,St. Michael the Archangel,24.3333,1,3,4,4,12.5,0.0,-6.5,18.3333
3,8,1,St. Pius X (Kansas City),61.25,4,0,4,4,20.0,15.0,11.25,15.0
3,8,2,Maryville,54.6667,4,0,4,4,20.0,5.0,13.0,16.6667
3,8,3,Macon,40.8333,3,1,4,4,17.5,0.0,5.0,18.3333
3,8,4,Chillicothe,37.0,3,1,4,4,17.5,2.5,2.0,15.0
3,8,5,Richmond,35.0,2,2,4,4,15.0,5.0,0.0,15.0
3,8,6,Cameron,26.9167,1,3,4,4,12.5,5.0,-4.75,14.1667
4,1,1,Hillsboro,50.5,4,0,4,4,20.0,2.5,13.0,15.0
4,1,2,Sikeston,44.25,3,1,4,4,17.5,7.5,4.25,15.0
4,1,3,Festus,39.1667,2,2,4,4,15.0,5.0,5.0,14.1667
4,1,4,Windsor (Imperial),29.5455,2,2,4,4,15.0,0.0,0.0,14.5455
4,1,5,North County,26.0,1,3,4,4,12.5,2.5,-6.5,17.5
4,1,6,DeSoto,22.5,1,3,4,4,12.5,0.0,-5.0,15.0
4,2,1,Sullivan,44.0,3,1,4,4,17.5,5.0,6.5,15.0
4,2,2,Vianney,42.25,2,2,4,4,15.0,12.5,-0.25,15.0
4,2,3,Union,41.5,3,1,4,4,17.5,7.5,6.5,10.0
4,2,4,Westminster Christian Academy,38.75,3,1,4,4,17.5,0.0,7.25,14.0
4,2,5,Affton,29.5,2,2,4,4,15.0,2.5,0.0,12.0
4,2,6,Bayless with Hancock,27.75,2,2,4,4,15.0,0.0,0.25,12.5
4,2,7,Pacific,15.1667,0,4,4,4,10.0,0.0,-11.5,16.6667
4,3,1,University City,55.1136,4,0,4,4,20.0,7.5,11.25,16.3636
4,3,2,Gateway with Soldan International Studies,36.5556,2,1,3,3,16.6667,3.3333,4.3333,12.2222
4,3,3,Lift for Life Academy Charter,36.5,2,2,4,4,15.0,7.5,0.0,14.0
4,3,4,Riverview Gardens,36.0227,2,2,4,4,15.0,5.0,-1.25,17.2727
4,3,5,Jennings,34.75,2,2,4,4,15.0,7.5,-1.75,14.0
4,3,6,Clayton with Brentwood,17.0,0,3,3,3,10.0,3.3333,-13.0,16.6667
4,4,1,St. Charles West,50.7273,4,0,4,4,20.0,7.5,10.5,12.7273
4,4,2,Orchard Farm,43.0833,3,1,4,4,17.5,5.0,7.25,13.3333
4,4,3,Parkway North,41.6667,2,2,4,4,15.0,10.0,2.5,14.1667
4,4,4,Hannibal,39.0833,2,2,4,4,15.0,10.0,-3.0,17.0833
4,4,5,Holt,33.8636,2,2,4,4,15.0,2.5,0.0,16.3636
4,4,6,Warrenton,30.5833,2,2,4,4,15.0,5.0,-2.75,13.3333
4,4,7,St. Charles,26.0833,1,2,3,3,13.3333,3.3333,-4.3333,13.75
4,5,1,Moberly,45.7045,4,0,4,4,20.0,0.0,10.25,15.4545
4,5,2,Warrensburg,41.6667,3,1,4,4,17.5,2.5,7.5,14.1667
4,5,3,Mexico,38.3333,3,1,4,4,17.5,0.0,5.0,15.8333
4,5,4,Osage,22.6667,1,3,4,4,12.5,0.0,-6.5,16.6667
4,5,5,Marshall,20.1667,1,3,4,4,12.5,0.0,-6.5,14.1667
4,5,6,Kirksville,16.1667,0,4,4,4,10.0,0.0,-10.5,16.6667
4,5,7,Knob Noster with Leeton,9.5,0,4,4,4,10.0,0.0,-13.0,12.5
